question,answer,tags,priority,purpose
"繁忙期に大型車プランを利用できますか？","繁忙期には大型車プランの受け入れを行っておりません。\n\n【注意事項】\n・システム上、繁忙期でもご予約が受付される場合がありますが、繁忙期中の大型車予約はすべてキャンセル扱いとなります。\n・ご不明な点がございましたら、事前にお問い合わせください。","繁忙期対応,大型車制限,受入不可,システム制限","最重要","繁忙期の大型車制限の明確化"
"繁忙期に長期預り割引プランは利用できますか？","繁忙期には長期預り割引プランの適用はございません。\n\n【注意事項】\n・システム上、繁忙期でも割引プランでのご予約が受付される場合がありますが、繁忙期中のご予約には割引が適用されませんのでご了承ください。\n・ご不明な点がございましたら、事前にお問い合わせください。","繁忙期対応,割引プラン,適用外,システム制限","最重要","繁忙期における割引制限の明確化"
"繁忙期に大型車プランを利用できますか？","繁忙期には大型車プランの受け入れを行っておりません。\n\n【注意事項】\n・システム上、繁忙期でもご予約が受付される場合がありますが、繁忙期中の大型車予約はすべてキャンセル扱いとなります。\n・ご不明な点がございましたら、事前にお問い合わせください。","繁忙期対応,大型車制限,受入不可,システム制限","最重要","繁忙期の大型車制限の明確化"
"繁忙期に長期預り割引プランは利用できますか？","繁忙期には長期預り割引プランの適用はございません。\n\n【注意事項】\n・システム上、繁忙期でも割引プランでのご予約が受付される場合がありますが、繁忙期中のご予約には割引が適用されませんのでご了承ください。\n・ご不明な点がございましたら、事前にお問い合わせください。","繁忙期対応,割引プラン,適用外,システム制限","最重要","繁忙期における割引制限の明確化"
"繁忙期の利用制限について教えてください。","繁忙期には以下の制限がございます：\n・大型車プランの受け入れ不可\n・長期預り割引プランの適用外","繁忙期対応,利用制限,総合案内","最重要","繁忙期における全般的な利用制限の明確化"
"繁忙期の予約のコツはありますか？","繁忙期のご予約には以下のポイントにご注意ください：\n・早めの予約をおすすめします（繁忙期は予約が埋まりやすいため）\n・長期預り割引プランは適用されません\n・大型車プランはご利用いただけません\n・ご不明点はWeb『Information』をご確認ください（https://park-ride.net/index.html）","繁忙期対応,予約方法,予約コツ","高","繁忙期の予約方法に関する具体的なガイダンス提供"
"繁忙期の料金体系を教えてください。","繁忙期の料金体系につきましては、最新の情報をWeb『https://park-ride.net/index.html』でご確認ください。","繁忙期対応,料金体系,確認案内","高","繁忙期料金の最新情報の提供"
"繁忙期にコンパクトカープランは利用可能ですか？","コンパクトカープランは繁忙期に関係なくご利用いただけます。","繁忙期対応,コンパクトカー,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消"
"繁忙期に軽自動車プランを利用できますか？","軽自動車プランは繁忙期に関係なくご利用いただけます。","繁忙期対応,軽自動車,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消"
"繁忙期の予約キャンセルルールを教えてください。","繁忙期のキャンセルルールは、通常のキャンセルルールと同様です。詳細はキャンセルポリシー（01_cancellation_policy.csv）をご確認ください。","繁忙期対応,キャンセルルール,確認案内","高","繁忙期のキャンセル規定の明確化"
