question,answer,tags,priority,purpose
"送迎バスはどのターミナルに行きますか？","当駐車場の送迎バスは、国内線ターミナル（第1・第2ターミナル）のみの運行となります。\n\n注意事項：\n・第3ターミナル（国際線）への送迎は行っておりません\n・国内線ターミナルのみの送迎となります\n・他ターミナルへの送迎は一切できません\n\n※燃料高騰により、国際線ターミナルへの送迎サービスは停止しております。","送迎サービス,ターミナル運行範囲,第3ターミナル,国際線ターミナル","最重要","送迎範囲の明確化"
"送迎サービスについて教えてください","以下の内容で送迎サービスを提供しています：\n\n・駐車場から羽田空港まで無料送迎。\n・空港から駐車場まで無料送迎。\n\n※ピーク時間や繁忙期は送迎にお時間がかかる場合があります。\n※送迎時の荷物制限については、別途ご確認ください。","送迎サービス,無料送迎,国際線制限,繁忙期対応","高","送迎サービスの明確化"
"送迎は何時から何時まで利用できますか？","送迎サービスの営業時間は朝5時から深夜24時までです。以下の条件にご注意ください：\n\n出発便の対応\n- 羽田空港から出発する便の場合、深夜便（21時30分以降出発）をご利用の際は、21時30分までに駐車場へお越しください。\n- 予約いただいた来場時間に間に合うよう、余裕を持ってお越しください。\n\n到着便の対応\n- 羽田空港に到着する便の場合、24時以降の到着には追加料金が発生します。\n- 到着時には空港で荷物を受け取った後、駐車場までご連絡ください。","送迎サービス,営業時間,深夜便,国際線制限,到着便,繁忙期対応","最重要","送迎サービスの利用可能時間の明確化"
"送迎の順番はどうなっていますか？","送迎は以下の順序で行っております：\n\n・ご来場受付順\n・他のお客様と乗合です\n・状況により待ち時間が発生\n\n※効率的な送迎のため、ご理解とご協力をお願いいたします。","送迎サービス,運行順序,乗合","中","送迎順序の明確化"
"送迎時の注意事項を教えてください","送迎サービスについて、以下の点にご注意ください：\n\n・来場順での送迎となります\n・他のお客様との乗合です\n・状況により待ち時間が発生します\n・国際線への送迎は行っておりません\n\n※スムーズな送迎のため、ご協力をお願いいたします。","送迎サービス,注意事項,国際線不可","高","送迎基準の明確化"
"スキー板やサーフボードは持ち込めますか？","申し訳ございませんが、以下の長尺物は送迎車への積載ができません：\n\n・ボード類\n・スキー板\n・釣竿\nなどの長尺物\n\n※お荷物の配送サービスのご利用をご検討ください。\n※どうしても長尺物を運びたい場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","送迎サービス,荷物制限,長尺物","最重要","手荷物制限の明確化"
"ペットと一緒に利用できますか？","申し訳ございませんが、ペットを含む全ての動物の送迎車への同乗はできません。\n\n※ペットの移動には、専門の運送サービスやペット可能な交通手段をご利用ください。\n※どうしてもペットを同行させる必要がある場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","送迎サービス,荷物制限,動物","最重要","ペット同伴基準の明確化"
"大きな荷物がある場合どうすればいいですか？","大きな荷物や大量の荷物がある場合は、事前にご相談ください。\n\n以下の点を確認させていただきます：\n・荷物のサイズと数量\n・送迎車への収納可否\n・代替手段のご案内\n\n※どうしても収納が難しい場合は、運転手1名のみを送迎する「ひとり送迎プラン」をご検討ください。","送迎サービス,荷物制限,事前確認","高","大型荷物対応の明確化"
"送迎人数のルールを教えてください","1台のご予約につき、同乗者様（幼児を含む）5名様までご利用いただけます。\n\n注意事項：\n・送迎車両は10名乗りですが、トラブル防止のため1台あたり5名様までの制限を設けております。\n・6名以上の場合は「ひとり送迎プラン」をご利用ください。","送迎サービス,人数制限,予約制限","最重要","人数制限ルールの明確化"
"6名以上での利用方法について教えてください","「ひとり送迎プラン」でご利用いただけます。\n\nご利用方法：\n1. 空港で荷物と同乗者様を降ろしていただきます\n2. 駐車場へ来場\n3. 運転手様1名のみを空港まで送迎\n\n※複数台でのご利用の場合も、各車両の運転手様1名ずつの送迎となります。\n※お帰りの際は逆の手順となります。","送迎サービス,ひとり送迎","最重要","大人数対応の明確化"
