question,answer,tags,priority,purpose
"繁忙期に大型車プランを利用できますか？","繁忙期には大型車プランの受け入れを行っておりません。\n\n【注意事項】\n・システム上、繁忙期でもご予約が受付される場合がありますが、繁忙期中の大型車予約はすべてキャンセル扱いとなります。\n・ご不明な点がございましたら、事前にお問い合わせください。","peak_season,繁忙期対応,大型車制限,受入不可,システム制限","最重要","繁忙期の大型車制限の明確化"
"繁忙期に長期預り割引プランは利用できますか？","繁忙期には長期預り割引プランの適用はございません。\n\n【注意事項】\n・システム上、繁忙期でも割引プランでのご予約が受付される場合がありますが、繁忙期中のご予約には割引が適用されませんのでご了承ください。\n・ご不明な点がございましたら、事前にお問い合わせください。","peak_season,繁忙期対応,割引プラン,適用外,システム制限","最重要","繁忙期における割引制限の明確化"
"繁忙期の利用制限について教えてください。","繁忙期には以下の制限がございます：\n・大型車プランの受け入れ不可\n・長期預り割引プランの適用外","peak_season,繁忙期対応,利用制限,総合案内","最重要","繁忙期における全般的な利用制限の明確化"
"繁忙期の予約のコツはありますか？","繁忙期のご予約には以下のポイントにご注意ください：\n・早めの予約をおすすめします（繁忙期は予約が埋まりやすいため）\n・長期預り割引プランは適用されません\n・大型車プランはご利用いただけません\n・ご不明点はWeb『Information』をご確認ください（https://park-ride.net/）","peak_season,繁忙期対応,予約方法,予約コツ","高","繁忙期の予約方法に関する具体的なガイダンス提供"
"繁忙期の料金体系を教えてください。","繁忙期の料金体系につきましては、最新の情報をWebサイト（https://park-ride.net/）でご確認ください。","peak_season,繁忙期対応,料金体系,確認案内","高","繁忙期料金の最新情報の提供"
"繁忙期にコンパクトカープランは利用可能ですか？","コンパクトカープランは繁忙期に関係なくご利用いただけます。","peak_season,繁忙期対応,コンパクトカー,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消"
"繁忙期に軽自動車プランを利用できますか？","軽自動車プランは繁忙期に関係なくご利用いただけます。","peak_season,繁忙期対応,軽自動車,プラン利用可","中","繁忙期中のプラン利用に関する疑問解消"
"繁忙期の予約キャンセルルールを教えてください。","繁忙期のキャンセルルールは、通常のキャンセルルールと同様です。詳細はWebサイト（https://park-ride.net/）をご確認ください。","peak_season,繁忙期対応,キャンセルルール,確認案内","高","繁忙期のキャンセル規定の明確化"
"繁忙期はいつですか？","当駐車場における繁忙期とは、旅行者が多くなる期間（例：お盆やゴールデンウィーク）を指します。繁忙期の最新情報はWebサイト（https://park-ride.net/）でご確認ください。","peak_season,繁忙期,日程確認,最新情報,案内","高","繁忙期の日程に関する案内の明確化"
"繁忙期の期間を教えてください。","繁忙期に関する情報はWebサイト（https://park-ride.net/）でご確認ください。【補足】具体的なご旅行予定を教えていただければ、該当する繁忙期かどうかご案内可能です。","peak_season,繁忙期,日程確認,旅行予定,案内","高","繁忙期の特定期間に関する柔軟な案内"
"繁忙期が始まるのはいつですか？","最新の繁忙期情報はWebサイト（https://park-ride.net/）にてご確認いただけます。例年、繁忙期にはお盆（8月中旬）やゴールデンウィーク（4月下旬〜5月初旬）が含まれます。","peak_season,繁忙期,開始日,日程確認,最新情報,案内","高","繁忙期開始日の明確化"
"繁忙期の日程は？","繁忙期とは、旅行や帰省が増える期間（例：お盆休み、年末年始）を指します。詳細な日程はWebサイト（https://park-ride.net/）でご確認ください。","peak_season,繁忙期,日程確認,一般的説明,案内","高","繁忙期における日程の明確化"
"ピーク期間はいつですか？","当駐車場の繁忙期情報はWebサイト（https://park-ride.net/）でご確認ください。例年、繁忙期には特定の旅行シーズンが含まれます。具体的な日程については最新情報をご参照ください。","peak_season,繁忙期,ピーク期間,最新情報,案内","高","ピーク期間に関する明確な案内"
