id,question,answer,parent_id,tags,priority,purpose,chunk_type
1,"予約ルールについて教えてください","予約には以下のような各種ルールや制限事項があります。詳細は各項目をご確認ください。","","reservation_rules","最重要","予約ルールの概要","parent"
2,"予約の条件はありますか？","以下の条件でのみ予約が可能です：\n\n・利用期間全日程に空きがある場合のみ予約可能\n・1日ずつ日程を分けた予約は不可\n・繁忙期の仮押さえ予約は不可（キャンセル扱い）\n\n※予約完了画面が表示されれば予約確定となります。\n※自動返信メールも併せてご確認ください。","1","reservation_rules,予約条件","最重要","予約条件の明確化","child"
3,"対象便の時間は？","国内線の営業対応時間に基づき、以下の便が対象です：\n\n【出発便】\n・朝5時以降の便\n【到着便】\n・通常は23時30分までの便\n\n※到着が24時を過ぎる場合、追加料金が発生する可能性があります。\n※遅延や到着時間変更がある場合は事前連絡をお願いします。","1","reservation_rules,対象便","最重要","対応可能便の明確化","child"
4,"キャンセル待ちはできますか？","申し訳ございませんが、キャンセル待ちは承っておりません。\n\n理由：\n・予約システムがリアルタイムで更新されるため\n・キャンセル発生時は予約サイト上に反映されます\n\n※空き状況は予約サイトで随時ご確認ください。","1","reservation_rules,キャンセル待ち","最重要","キャンセル待ち制限の明確化","child"
5,"満車の場合は空き状況を電話で確認できますか？","申し訳ございませんが、空き状況はWEB予約システムでのみ確認可能です。\n\n【軽自動車枠について】\n・軽自動車専用枠がある場合は21時以降に電話で予約可能です。\n・翌日利用の場合、22時までにご予約ください。","1","reservation_rules,空き状況","最重要","空き状況確認方法の明確化","child"
6,"キャンセル枠の確認方法を教えてください","キャンセル枠は予約サイトに即時反映されません。最新情報は随時更新されるため、こまめにWebサイトをご確認ください。なお、キャンセル待ちは承っておりません。","1","reservation_rules,キャンセル枠","最重要","キャンセル枠に関する問い合わせを減らす","child"
7,"予約の変更はできますか？","予約内容の変更には制限があります。変更可能な項目と変更できない項目がございますので、詳細をご確認ください。","1","reservation_rules,予約変更","最重要","変更ルールの明確化","child"
8,"予約変更のルールについて教えてください","予約変更には特定の制限があります。変更可能な項目と変更できない項目がございます。","","reservation_change_rules","最重要","予約変更ルールの概要","parent"
9,"変更可能な項目は何ですか？","以下の項目は変更可能です：\n\n・利用便\n・来場時間\n・車種","8","reservation_change_rules,変更可能","重要","変更可能項目の明確化","child"
10,"変更できない項目は何ですか？","以下の項目は変更できません：\n\n・予約日程（キャンセル後に再予約が必要）","8","reservation_change_rules,変更不可","重要","変更不可項目の明確化","child"
11,"駐車場の利用手順について教えてください","駐車場のご利用には、予約から精算までいくつかの重要な手順があります。各手順の詳細は個別の案内をご確認ください。","","usage_process","最重要","利用手順の概要説明","parent"
12,"運営規則について教えてください","当駐車場の運営には以下のような規則や注意事項があります。詳細は各項目をご確認ください。","","operation_rules","最重要","運営規則の概要説明","parent"
13,"手荷物の規則について教えてください","当駐車場の送迎車をご利用の際は、手荷物に関する規則がございます。詳細は各項目をご確認ください。","","baggage_rules","最重要","手荷物規則の概要説明","parent"
14,"収容人数の規則について教えてください","当駐車場の送迎サービスには、人数に関する規則がございます。詳細は各項目をご確認ください。","","capacity_rules","最重要","収容人数規則の概要説明","parent"
15,"送迎プランについて教えてください","当駐車場では、車種や利用期間に応じて様々な送迎プランをご用意しております。詳細は各項目をご確認ください。","","transportation_plans_knowledge","最重要","送迎プラン概要の説明","parent"
16,"団体利用について教えてください","当駐車場では、団体でのご利用に関する特別なルールがございます。詳細は各項目をご確認ください。","","group_usage","最重要","団体利用の概要説明","parent"
17,"料金規則について教えてください","当駐車場では、基本料金に加えて、状況に応じて追加料金が発生する場合があります。詳細は各項目をご確認ください。","","fee_rules","最重要","料金規則の概要説明","parent"
18,"繁忙期について教えてください","当駐車場では、旅行や帰省が増える特定の期間を繁忙期として設定しています。繁忙期には一部のプランに制限や追加料金が発生する場合があります。詳細は各項目をご確認ください。","","peak_season","最重要","繁忙期の概要説明","parent"
19,"満車時の対応について教えてください","当駐車場では、満車時の対応に関する重要なルールがございます。詳細は各項目をご確認ください。","","full_parking_responses","最重要","満車時の対応概要説明","parent"
20,"駐車場へのアクセス方法について教えてください","当駐車場へは、首都高速の各出口からアクセスできます。方面別の詳しい道順は各項目をご確認ください。","","navigation_and_access","最重要","アクセス方法の概要説明","parent"
21,"国際線利用で予約できますか？","申し訳ございませんが、一切の国際線関連利用（出国・帰国、国際線ターミナル利用を含む）はお受けできません。\n\n以下を含む全ての国際線関連利用が対象外です：\n・国際線出発/到着の全便\n・国内線ターミナル発着の国際線\n・国際線への乗り継ぎ\n・国際線利用者の見送り/お迎え\n・国際線ターミナル（第3ターミナル）施設の利用\n\n理由：\n・燃料高騰に伴う送迎サービスの停止\n・到着後の待ち時間や渋滞による不便。","","国際線制限,利用不可,出国,帰国,第3ターミナル,国際線ターミナル","最重要","国際線完全制限の明確化","parent"
22,"国内線ターミナルまでの送迎で、その後国際線を使うことは可能ですか？","申し訳ございませんが、国内線ターミナルで降車後に国際線ターミナルへ移動される場合も、ご利用をお断りしております。\n\n当駐車場は、純粋な国内線利用のお客様専用となります。\n\n※国内線ターミナルからの国際線乗り継ぎも対象外です。","21","international_ng,国際線制限,迂回利用不可,国際線乗り継ぎ,国内線ターミナル","最重要","迂回利用の制限","child"
23,"国際線の見送り/お迎えで利用できますか？","申し訳ございませんが、国際線利用者の見送りやお迎えでのご利用もお断りしております。\n\n・見送り/お迎えも含めて、国際線に関連する全ての利用はできません\n・第3ターミナル（国際線）への送迎は行っておりません\n\n※純粋な国内線利用のお客様のみ対象となります。","21","international_ng,国際線制限,見送り不可,迎え不可,第3ターミナル","最重要","見送り利用の制限","child"
24,"国際線ターミナルのレストランや施設だけ利用したいのですが？","申し訳ございませんが、国際線ターミナル（第3ターミナル）の施設利用目的でのご予約もお断りしております。\n\n以下を含む全ての利用がお断りの対象です：\n・レストラン利用\n・ショッピング\n・待ち合わせ\n・その他の施設利用\n\n理由：\n・燃料高騰による送迎サービスの見直し\n・運営効率の向上のため。","21","international_ng,国際線制限,施設利用不可,第3ターミナル,国際線ターミナル","最重要","施設利用制限の明確化","child"
25,"事前予約で国際線利用と国内線利用を分けることはできますか？","申し訳ございませんが、同一予約での国際線・国内線の併用はできかねます。\n\n当駐車場は以下の方針で運営しております：\n・純粋な国内線利用のお客様のみ対象\n・国際線に関連する全ての利用を制限\n・予約分割による併用も不可\n\n※国内線のご利用時のみ、別途ご予約をお願いいたします。","21","international_ng,国際線制限,予約分割不可,併用不可,出国,帰国","最重要","予約分割制限の明確化","child"
26,"送迎バスはどのターミナルに行きますか？","当駐車場の送迎バスは、国内線ターミナル（第1・第2ターミナル）のみの運行となります。\n\n注意事項：\n・第3ターミナル（国際線）への送迎は行っておりません\n・国内線ターミナルのみの送迎となります\n・他ターミナルへの送迎は一切できません\n\n※燃料高騰により、国際線ターミナルへの送迎サービスは停止しております。","21","international_ng,送迎サービス,ターミナル運行範囲,第3ターミナル,国際線ターミナル","最重要","送迎範囲の明確化","child"
27,"外車は駐車できますか？","申し訳ございませんが、全ての外車（輸入車）および高級国産車（例: レクサス）は一律にお断りしております。これらのお車の予約は承ることができません。空きがある状態で予約が完了していてもご予約は無効となりますので、ご了承ください。\n\n【理由】\n1. 場内の保険が適用外となるため。\n2. 他のお客様からの公平性を保つため。\n\n※小型車や古い車種であっても、外車であれば受け入れはできません。ご了承ください。\n\nまた、外車や高級車に関しては、予約を承ることができません。仮にご予約いただいても無効となりますので、何卒ご理解くださいますようお願い申し上げます。","","vehicles_ng,車種制限,輸入車不可,高級車不可,予約不可","最重要","外車・高級車に関する基準の明確化","parent"
28,"対象外の車種を教えてください","以下の車種は一切お受けできません：\n\n1. トヨタ車：\n・レクサス全車種\n・FJクルーザー\n・ハイラックスサーフ（年式問わず）\n・ハイラックス\n・ランドクルーザー全車種\n・ランドクルーザープラド\n・グランドキャビン\n・グランエース\n\n2. 日産車：\n・キャラバン（ワイド・ハイルーフ）\n・プレジデント\n\n3. 三菱車：\n・パジェロ\n\n4. その他：\n・ハイエース（ワイド・ハイルーフ）\n・マニュアル車（全車種）\n\n制限理由：\n・全てのレクサス車種は場内保険対象外のため\n・施設の構造上の制約","27","vehicles_ng,車種制限,対象外車種","最重要","制限車種の明確化","child"
29,"車の大きさに制限はありますか？","以下のサイズ制限があります：\n\n標準料金の場合：\n・高さ1.95m未満\n・幅1.85m未満\n・長さ5.05m未満\n\n大型車料金となる場合：\n・高さ1.95m以上2.1m以下\n・幅1.85m以上\n・長さ5.05m以上\n\n※キャリアやルーフボックスも高さに含みます。\n※上記サイズ内でも対象外車種の場合は利用不可。\n\n制限理由：\n・施設の駐車スペースに高さや幅の制約があるため","27","vehicles_ng,車種制限,寸法制限","最重要","サイズ制限の明確化","child"
30,"車両の改造や装備品は問題ありますか？","以下の車両はお受けできません：\n\n【対象外車両】\n・改造車\n・社外バンパー装着車\n・ヒッチメンバー装着車\n・土禁車\n・故障車\n・キャリアやルーフボックス装着で全高1.95m以上となる車両\n\n【大型車扱いについて】\n・全高1.95m以上の車両は大型車扱いとなります（軽自動車を含む）。\n・当駐車場では全高2.1m以下の車両のみ受け入れ可能です。\n\n制限理由：\n・改造や装備品が施設の安全基準に適合しないため\n・特殊仕様車の管理が困難なため\n\n※標準仕様の車両でもこれらの装備がある場合はご利用いただけません。","27","vehicles_ng,車種制限,特殊車両不可,大型車規定","最重要","改造・装備制限の明確化","child"
31,"マニュアル車は利用できますか？","申し訳ございませんが、当面の間、全てのマニュアル車（MT車）はお受けできません。\n\n対象：\n・全メーカー\n・全車種\n・年式問わず\n\n制限理由：\n・場内での車両移動時に操作上の安全確保が困難なため\n\n※AT車・CVT車のみご利用いただけます。","27","vehicles_ng,車種制限,マニュアル車不可","最重要","マニュアル車制限の明確化","child"
32,"予約前に車種の確認はできますか？","以下の情報をお知らせいただければ、事前に確認させていただきます：\n\n必要情報：\n・メーカー名\n・車種名\n・年式\n・車検証の型式\n・ミッション（AT/MT）\n・車両の寸法（全高/全幅/全長）\n・装備品（キャリア等）の有無\n\n※確認なしでご予約された場合、対象外車種と判明した際はご利用いただけません。","27","vehicles_ng,事前確認,車種確認","最重要","事前確認手順の明確化","child"
33,"高級車（レクサスなど）は駐車できますか？","申し訳ございませんが、レクサスなどの高級国産車もお断りしております。\n\n【理由】\n1. 保険適用外。\n2. 他のお客様からクレームが入る可能性。\n\n※他の国産普通車をお持ちの場合は、ご予約いただけます。ご相談ください。","27","vehicles_ng,車種制限,高級車不可","最重要","高級国産車への対応方針の周知","child"
34,"他の車両で予約を取れますか？","はい、外車や高級車以外の国産普通車をお持ちであればご予約いただけます。変更をご希望の場合は、以下の手順でお知らせください：\n\n【必要情報】\n1. 車両メーカー名\n2. 車種名\n3. 年式\n\nご不明な点がございましたらお気軽にお問い合わせください。","27","vehicles_ng,車種制限,代替車両予約,国産車案内","高","代替案提示による顧客対応の向上","child"
